dx,dy,dz,ax,ay,az
451.381,4.513,59.531,166.398,-82.713,18.976
414.517,-114.527,59.531,166.441,-82.717,18.924
414.517,-114.527,3.851,156.009,-82.108,26.096
414.517,13.729,3.852,72.389,-86.549,108.16
449.461,-54.239,49.548,-37.618,-88.691,-141.512
409.909,-101.471,-48.372,74.888,-87.088,109.184
530.101,-101.471,94.092,162.958,-83.212,23.582
530.101,-41.567,70.668,-170.726,-82.989,-9.495
499.381,-71.519,87.564,-170.75,-82.981,-9.469
499.381,14.497,78.732,135.651,-84.466,41.458
513.973,40.993,0.396,163.866,-85.747,13.35
560.052,25.249,54.924,163.828,-85.732,13.395
585.78,-4.319,60.684,163.823,-85.724,13.405
540.468,-4.319,29.964,128.079,-88.692,49.118
540.468,53.281,-13.044,128.468,-88.682,48.733
