dx,dy,dz,ax,ay,az
457.17,-110.835,228.194,158.562,-72.764,26.99
457.51,-82.367,206.429,158.559,-72.764,26.992
462.617,-77.377,177.869,144.95,-78.453,39.609
459.129,-59.113,141.942,158.191,-72.711,27.672
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
445.852,-144.13,146.005,157.341,-73.532,17.622
